epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,34390.1,1.13721,0.90698,0.00853,0.39849,0.5893,0.41694,0.23849,1.60567,1.77131,0.01653,0.0085447,0.0085447,0.0085447
149,34595.5,1.1661,0.86939,0.00898,0.38172,0.6315,0.43232,0.28175,1.43481,1.84952,0.01422,0.0085348,0.0085348,0.0085348
150,34818.8,1.12972,0.84823,0.00846,0.36827,0.49675,0.37314,0.24728,1.31361,2.41946,0.01301,0.0085249,0.0085249,0.0085249
151,35059.1,1.1229,0.84297,0.00843,0.33336,0.50721,0.36186,0.24207,1.26534,2.29857,0.0122,0.008515,0.008515,0.008515
152,35288.7,1.07883,0.81262,0.00834,0.40734,0.48575,0.37398,0.23451,1.44617,2.25562,0.01441,0.0085051,0.0085051,0.0085051
153,35506.1,1.07765,0.809,0.00859,0.37569,0.61264,0.39054,0.2444,1.38803,2.25727,0.01368,0.0084952,0.0084952,0.0084952
154,35738.9,1.11523,0.83207,0.00834,0.35258,0.6589,0.39543,0.25107,1.36794,2.04354,0.01355,0.0084853,0.0084853,0.0084853
155,35974.2,1.14989,0.83638,0.00886,0.40704,0.45564,0.3397,0.21487,1.44221,2.3117,0.01439,0.0084754,0.0084754,0.0084754
156,36207.9,1.07444,0.788,0.00766,0.36127,0.53142,0.34143,0.21825,1.43781,2.56421,0.01431,0.0084655,0.0084655,0.0084655
157,36443,1.14413,0.82544,0.00869,0.37136,0.5171,0.38354,0.24419,1.36482,2.4026,0.01346,0.0084556,0.0084556,0.0084556
158,36680.3,1.12431,0.8249,0.00841,0.35634,0.62597,0.38661,0.21448,1.63302,2.4499,0.017,0.0084457,0.0084457,0.0084457
159,36919,1.11248,0.83841,0.00834,0.32715,0.60062,0.38556,0.25078,1.32512,2.30524,0.01302,0.0084358,0.0084358,0.0084358
160,37140.4,1.11919,0.79721,0.00843,0.42105,0.5522,0.44262,0.29832,1.29718,2.04478,0.01283,0.0084259,0.0084259,0.0084259
161,37370.1,1.06928,0.72991,0.00797,0.44746,0.54952,0.41554,0.26069,1.33934,2.21741,0.01333,0.008416,0.008416,0.008416
162,37611.4,1.0541,0.79526,0.0082,0.37257,0.58128,0.37067,0.25307,1.26228,2.1322,0.0124,0.0084061,0.0084061,0.0084061
163,37847.3,1.06303,0.76854,0.00778,0.30087,0.64213,0.34382,0.23718,1.23762,2.4022,0.01188,0.0083962,0.0083962,0.0083962
164,38076.7,1.04291,0.75105,0.0081,0.31972,0.62773,0.34992,0.23493,1.27991,2.19891,0.01207,0.0083863,0.0083863,0.0083863
165,38307.4,1.04028,0.75242,0.0079,0.33132,0.59711,0.38607,0.24887,1.38633,2.30734,0.0135,0.0083764,0.0083764,0.0083764
166,38554.6,1.06465,0.7424,0.00819,0.40809,0.48993,0.38582,0.24957,1.37613,2.32339,0.01375,0.0083665,0.0083665,0.0083665
167,38776.9,1.09615,0.7962,0.00834,0.39465,0.52635,0.37614,0.23819,1.43036,2.34902,0.01418,0.0083566,0.0083566,0.0083566
168,39018.9,1.11905,0.79879,0.00843,0.35059,0.50507,0.34829,0.22561,1.40784,2.28392,0.0138,0.0083467,0.0083467,0.0083467
169,39255.9,1.0715,0.79058,0.00835,0.43355,0.55903,0.3811,0.23296,1.53095,2.19431,0.01552,0.0083368,0.0083368,0.0083368
170,39493.1,1.05089,0.78497,0.00783,0.3729,0.4937,0.36906,0.23547,1.38754,2.6828,0.01358,0.0083269,0.0083269,0.0083269
171,39737.3,1.06996,0.72107,0.00798,0.37123,0.51859,0.38291,0.24056,1.32927,2.66251,0.01294,0.008317,0.008317,0.008317
172,39969.8,1.08543,0.76349,0.00811,0.31734,0.50439,0.35987,0.23384,1.29654,2.41218,0.0126,0.0083071,0.0083071,0.0083071
173,40182,1.0888,0.75565,0.00811,0.35,0.51553,0.37406,0.25383,1.25294,2.19321,0.01198,0.0082972,0.0082972,0.0082972
174,40421.6,1.07407,0.75869,0.00811,0.43161,0.58699,0.45384,0.31378,1.23814,2.10662,0.01171,0.0082873,0.0082873,0.0082873
175,40650.8,1.06149,0.76791,0.00797,0.37141,0.58965,0.39445,0.27295,1.24013,2.07887,0.01188,0.0082774,0.0082774,0.0082774
176,40869.6,1.07546,0.76932,0.00794,0.31995,0.54109,0.31836,0.21817,1.2418,2.22949,0.01188,0.0082675,0.0082675,0.0082675
177,41118.9,1.07538,0.77783,0.00785,0.37592,0.48956,0.37012,0.25736,1.19917,2.33098,0.01143,0.0082576,0.0082576,0.0082576
178,41341,1.01875,0.69991,0.00779,0.33653,0.57594,0.36814,0.24815,1.31141,2.36868,0.01288,0.0082477,0.0082477,0.0082477
179,41563.8,1.0202,0.69936,0.00731,0.34345,0.51684,0.33671,0.2257,1.27168,2.54134,0.01247,0.0082378,0.0082378,0.0082378
180,41782.7,1.04707,0.74567,0.00782,0.3388,0.50611,0.33386,0.22079,1.28728,2.561,0.0123,0.0082279,0.0082279,0.0082279
181,42018.4,1.04505,0.75441,0.00835,0.39716,0.50755,0.31573,0.2001,1.36134,2.44769,0.01349,0.008218,0.008218,0.008218
